解析前のテキスト: 事故シーケンスグループ「全交流動力電源喪失」に含まれる事故シーケンスは，「6
表層形: 事故, 読み仮名: ジコ, 品詞: 名詞-一般
表層形: シーケンス, 読み仮名: シーケンス, 品詞: 名詞-一般
表層形: グループ, 読み仮名: グループ, 品詞: 名詞-一般
表層形: 「, 読み仮名: 「, 品詞: 記号-括弧開
表層形: 全, 読み仮名: ゼン, 品詞: 接頭詞-名詞接続
表層形: 交流, 読み仮名: コウリュウ, 品詞: 名詞-サ変接続
表層形: 動力, 読み仮名: ドウリョク, 品詞: 名詞-一般
表層形: 電源, 読み仮名: デンゲン, 品詞: 名詞-一般
表層形: 喪失, 読み仮名: ソウシツ, 品詞: 名詞-サ変接続
表層形: 」, 読み仮名: 」, 品詞: 記号-括弧閉
表層形: に, 読み仮名: ニ, 品詞: 助詞-格助詞-一般
表層形: 含ま, 読み仮名: フクマ, 品詞: 動詞-自立
表層形: れる, 読み仮名: レル, 品詞: 動詞-接尾
表層形: 事故, 読み仮名: ジコ, 品詞: 名詞-一般
表層形: シーケンス, 読み仮名: シーケンス, 品詞: 名詞-一般
表層形: は, 読み仮名: ハ, 品詞: 助詞-係助詞
表層形: ，, 読み仮名: ，, 品詞: 記号-読点
表層形: 「, 読み仮名: 「, 品詞: 記号-括弧開
表層形: 6, 読み仮名: ロク, 品詞: 名詞-数
変換後のテキスト: 事故シーケンスグループ「全交流動力電源喪失」に含まれる事故シーケンスは，「6

解析前のテキスト: .2
表層形: ., 読み仮名: ., 品詞: 記号-句点
表層形: 2, 読み仮名: ニ, 品詞: 名詞-数
変換後のテキスト: .2

解析前のテキスト: 　評価対象の整理及び評価項目の設定」に示すとおり，①「外部電源喪失＋直流電源喪失」及び②「外部電源喪失＋交流電源喪失」である。
表層形: 　, 読み仮名: 　, 品詞: 記号-空白
表層形: 評価, 読み仮名: ヒョウカ, 品詞: 名詞-サ変接続
表層形: 対象, 読み仮名: タイショウ, 品詞: 名詞-一般
表層形: の, 読み仮名: ノ, 品詞: 助詞-連体化
表層形: 整理, 読み仮名: セイリ, 品詞: 名詞-サ変接続
表層形: 及び, 読み仮名: オヨビ, 品詞: 接続詞
表層形: 評価, 読み仮名: ヒョウカ, 品詞: 名詞-サ変接続
表層形: 項目, 読み仮名: コウモク, 品詞: 名詞-一般
表層形: の, 読み仮名: ノ, 品詞: 助詞-連体化
表層形: 設定, 読み仮名: セッテイ, 品詞: 名詞-サ変接続
表層形: 」, 読み仮名: 」, 品詞: 記号-括弧閉
表層形: に, 読み仮名: ニ, 品詞: 助詞-格助詞-一般
表層形: 示す, 読み仮名: シメス, 品詞: 動詞-自立
表層形: とおり, 読み仮名: トオリ, 品詞: 名詞-非自立-副詞可能
表層形: ，, 読み仮名: ，, 品詞: 記号-読点
表層形: ①「, 読み仮名: ①「, 品詞: 名詞-サ変接続
表層形: 外部, 読み仮名: ガイブ, 品詞: 名詞-一般
表層形: 電源, 読み仮名: デンゲン, 品詞: 名詞-一般
表層形: 喪失, 読み仮名: ソウシツ, 品詞: 名詞-サ変接続
表層形: ＋, 読み仮名: タス, 品詞: 記号-一般
表層形: 直流, 読み仮名: チョクリュウ, 品詞: 名詞-サ変接続
表層形: 電源, 読み仮名: デンゲン, 品詞: 名詞-一般
表層形: 喪失, 読み仮名: ソウシツ, 品詞: 名詞-サ変接続
表層形: 」, 読み仮名: 」, 品詞: 記号-括弧閉
表層形: 及び, 読み仮名: オヨビ, 品詞: 接続詞
表層形: ②「, 読み仮名: ②「, 品詞: 名詞-サ変接続
表層形: 外部, 読み仮名: ガイブ, 品詞: 名詞-一般
表層形: 電源, 読み仮名: デンゲン, 品詞: 名詞-一般
表層形: 喪失, 読み仮名: ソウシツ, 品詞: 名詞-サ変接続
表層形: ＋, 読み仮名: タス, 品詞: 記号-一般
表層形: 交流, 読み仮名: コウリュウ, 品詞: 名詞-サ変接続
表層形: 電源, 読み仮名: デンゲン, 品詞: 名詞-一般
表層形: 喪失, 読み仮名: ソウシツ, 品詞: 名詞-サ変接続
表層形: 」, 読み仮名: 」, 品詞: 記号-括弧閉
表層形: で, 読み仮名: デ, 品詞: 助動詞
表層形: ある, 読み仮名: アル, 品詞: 助動詞
表層形: 。, 読み仮名: 。, 品詞: 記号-句点
変換後のテキスト: 　評価対象の整理及び評価項目の設定」に示すとおり，①「外部電源喪失＋直流電源喪失」及び②「外部電源喪失＋交流電源喪失」である。

解析前のテキスト: したがって，本事故シーケンスグループでは，運転員が異常を認知して，常設代替交流電源設備による電源供給，代替低圧注水系（常設）による原子炉注水を行うことによって，燃料損傷の防止を図る。また，代替原子炉補機冷却系を介した残留熱除去系（原子炉停止時冷却モード）による最終的な熱の逃がし場へ熱の輸送を行うことにより，原子炉を除熱する。
表層形: したがって, 読み仮名: シタガッテ, 品詞: 接続詞
表層形: ，, 読み仮名: ，, 品詞: 記号-読点
表層形: 本, 読み仮名: ホン, 品詞: 接頭詞-名詞接続
表層形: 事故, 読み仮名: ジコ, 品詞: 名詞-一般
表層形: シーケンス, 読み仮名: シーケンス, 品詞: 名詞-一般
表層形: グループ, 読み仮名: グループ, 品詞: 名詞-一般
表層形: で, 読み仮名: デ, 品詞: 助詞-格助詞-一般
表層形: は, 読み仮名: ハ, 品詞: 助詞-係助詞
表層形: ，, 読み仮名: ，, 品詞: 記号-読点
表層形: 運転, 読み仮名: ウンテン, 品詞: 名詞-サ変接続
表層形: 員, 読み仮名: イン, 品詞: 名詞-接尾-一般
表層形: が, 読み仮名: ガ, 品詞: 助詞-格助詞-一般
表層形: 異常, 読み仮名: イジョウ, 品詞: 名詞-形容動詞語幹
表層形: を, 読み仮名: ヲ, 品詞: 助詞-格助詞-一般
表層形: 認知, 読み仮名: ニンチ, 品詞: 名詞-サ変接続
表層形: し, 読み仮名: シ, 品詞: 動詞-自立
